BJD-2454833.0,raw,ost_decorr,ost_tfa,err
2060.28419354,12.91145,,,0.00135
2060.30462585,12.91164,,,0.00136
2060.32505806,12.91073,,,0.00135
2060.34549017,12.9099,,,0.00135
2060.36592248,12.909,,,0.00136
2060.38635469,12.90674,,,0.00137
2060.4067869,12.90712,,,0.00136
2060.42721911,12.90605,,,0.00137
2060.44765132,12.90594,,,0.00136
2060.46808353,12.9057,,,0.00136
2060.48851573,12.90386,,,0.0014
2060.50894794,12.9049,,,0.00136
2060.52938015,12.90382,,,0.00136
2060.54981236,12.90381,,,0.00139
2060.57024456,12.9019,,,0.00149
2060.59067687,12.90264,,,0.00133
2060.61110897,12.90388,,,0.00137
2060.63154118,12.90409,,,0.00135
2060.65197348,12.90371,,,0.00135
2060.67240558,12.90382,,,0.00134
2060.69283789,12.90401,,,0.00134
2060.71327009,12.90318,,,0.00135
2060.73370219,12.90245,,,0.00131
2060.75413449,12.90249,,,0.00132
2060.77456669,12.9012,,,0.00128
2060.7949988,12.89958,,,0.00127
2060.8154311,12.90107,,,0.00126
2060.8358633,12.90023,,,0.00123
2060.8562954,12.90005,,,0.00124
2060.87672769,12.89783,,,0.00124
2060.89715989,12.89943,,,0.00116
2060.91759219,12.90083,,,0.00118
2060.93802429,12.89859,,,0.00125
2060.95845649,12.90067,,,0.00114
2060.97888878,12.90015,,,0.00112
2060.99932088,12.89912,,,0.0011
2061.01975307,12.89991,,,0.00108
2061.04018537,12.89993,,,0.00107
2061.06061756,12.90066,,,0.00103
2061.08104966,12.90146,,,0.00102
2061.10148195,12.90211,,,0.00105
2061.12191405,12.90286,,,0.00103
2061.14234634,12.90127,,,0.00107
2061.16277853,12.90273,,,0.00102
2061.18321062,12.91001,,,0.00093
2061.20364292,12.90926,,,0.00092
2061.22407511,12.90949,,,0.00093
2061.2445072,12.90925,,,0.00092
2061.26493949,12.91006,,,0.00093
2061.44882918,12.91849,12.91175,12.913045,0.00102
2061.46926137,12.91669,12.91308,12.913628,0.00103
2061.48969365,12.91595,12.91258,12.913389,0.00099
2061.51012574,12.91554,12.91196,12.91304,0.00099
2061.53055792,12.91538,12.91193,12.912481,0.00101
2061.5509902,12.91549,12.91182,12.912086,0.00104
2061.57142239,12.91601,12.91247,12.912343,0.00106
